Year,Month,Date,ET0_mm,,,
2010,6,2010-07-06,17.2,,,
2010,7,2010-08-06,25.2,,,
2010,8,2010-09-06,42.2,,,
2010,9,2010-10-07,84.6,,,
2010,10,2010-11-07,124,,,
2010,11,2010-12-08,147.2,,,
2010,12,2011-01-01,71.6,,,
2011,1,2011-02-01,199.6,,,
2011,2,2011-03-04,155.8,,,
2011,3,2011-04-04,125,,,
2011,4,2011-05-05,60.2,,,
2011,5,2011-06-05,31.8,,,
2011,6,2011-07-06,30.4,,,
2011,7,2011-08-06,33.4,,,
2011,8,2011-09-06,58.4,,,
2011,9,2011-10-07,89.4,,,
2011,10,2011-11-07,154.8,,,
2011,11,2011-12-08,180.4,,,
2011,12,2012-01-01,91.6,,,
2012,1,2012-02-01,258.4,,,
2012,2,2012-03-03,171.2,,,
2012,3,2012-04-03,119.2,,,
2012,4,2012-05-04,68.2,,,
2012,5,2012-06-04,9,,,
2012,6,2012-07-05,17.8,,,
2012,7,2012-08-05,32,,,
2012,8,2012-09-05,25.4,,,
2012,9,2012-10-06,54.8,,,
2012,10,2012-11-06,157.2,,,
2012,11,2012-12-07,227,,,
2012,12,2013-01-01,116,,,
2013,1,2013-02-02,8.2,,,
2013,2,2013-03-06,208,,,
2013,3,2013-04-07,25.2,,,
2013,4,2013-05-09,70.8,,,
2013,5,2013-06-10,9.2,,,
2013,6,2013-07-12,29.4,,,
2013,7,2013-08-13,26.6,,,
2013,8,2013-09-14,58.4,,,
2013,9,2013-10-16,89.4,,,
2013,10,2013-11-17,132.2,,,
2013,11,2013-12-19,183,,,
2013,12,2014-01-12,100,,,
2014,1,2014-02-12,272.8,,,
2014,2,2014-03-15,244,,,
2014,3,2014-04-15,139.2,,,
2014,4,2014-05-16,62.8,,,
2014,5,2014-06-16,35,,,
2014,6,2014-07-17,23,,,
2014,7,2014-08-17,18.2,,,
2014,8,2014-09-17,59.2,,,
2014,9,2014-10-18,106.6,,,
2014,10,2014-11-18,172.6,,,
2014,11,2014-12-19,191.6,,,
2014,12,2015-01-13,94.4,,,
2015,1,2015-02-13,185.2,,,
2015,2,2015-03-16,197.2,,,
2015,3,2015-04-16,139.6,,,
2015,4,2015-05-17,69.6,,,
2015,5,2015-06-17,32.2,,,
2015,6,2015-07-18,19.2,,,
2015,7,2015-08-18,28.6,,,
2015,8,2015-09-18,52.8,,,
2015,9,2015-10-19,142.2,,,
2015,10,2015-11-19,155.2,,,
2015,11,2015-12-20,231.2,,,
2015,12,2016-01-13,117.6,,,
2016,1,2016-02-13,189.6,,,
2016,2,2016-03-15,202.8,,,
2016,3,2016-04-15,160,,,
2016,4,2016-05-16,83,,,
2016,5,2016-06-16,32.6,,,
2016,6,2016-07-17,23.2,,,
2016,7,2016-08-17,32.2,,,
2016,8,2016-09-17,48.4,,,
2016,9,2016-10-18,68.6,,,
2016,10,2016-11-18,138.6,,,
2016,11,2016-12-19,178.2,,,
2016,12,2017-01-01,82,,,
2017,1,2017-02-01,202.8,,,
2017,2,2017-03-04,178.4,,,
2017,3,2017-04-04,153.6,,,
2017,4,2017-05-05,51,,,
2017,5,2017-06-05,6.2,,,
2017,6,2017-07-06,20.6,,,
2017,7,2017-08-06,33.8,,,
2017,8,2017-09-06,47.6,,,
2017,9,2017-10-07,101.6,,,
2017,10,2017-11-07,174.6,,,
2017,11,2017-12-08,188.4,,,
2017,12,2018-01-01,89.2,,,
2018,1,2018-02-01,233.6,,,
